filename,date,group,position,field,channel,nucleus_index,spot_index,center_x,center_y,center_z,center_r,area,eccentricity,solidity,nuclear_mask_offset_x,nuclear_mask_offset_y
20241121/CS3_g2/p5_ch3_nucleus_0011_spot_4.npy,20241121,2,3,5,3,0011,4,38.0,43.0,7.043372749735262,0.1725597495275687,1.0,0.0,1.0,1,326
20241121/CS3_g2/p3_ch2_nucleus_0021_spot_1.npy,20241121,2,3,3,2,0021,1,88.30841849148419,81.39357664233576,3.9647401593530747,0.5876105288420801,3.0,0.816496580927726,1.0,3,204
20241121/CS3_g2/p3_ch2_nucleus_0007_spot_0.npy,20241121,2,3,3,2,0007,0,51.70955608946856,26.676706138092786,7.122714660382377,0.5754450405657155,3.0,0.816496580927726,1.0,2,216
20241121/CS3_g2/p1_ch3_nucleus_0008_spot_0.npy,20241121,2,3,1,3,0008,0,64.00744312330306,61.23028742627094,7.2432637627653556,0.33333333333333326,4.0,0.7905694150420949,1.0,3,587
20241121/CS3_g2/p1_ch2_nucleus_0001_spot_0.npy,20241121,2,3,1,2,0001,0,73.42602024751906,95.25807993065612,5.648110999665662,0.733611054585673,9.0,0.5270462766947299,0.9,2,602
20241121/CS3_g2/p3_ch3_nucleus_0010_spot_0.npy,20241121,2,3,3,3,0010,0,29.709789151562035,73.49323513916447,5.174738219895287,0.4697042942006179,8.0,0.9260594937045158,0.8888888888888888,2,281
20241121/CS3_g2/p3_ch3_nucleus_0021_spot_0.npy,20241121,2,3,3,3,0021,0,30.415404960159588,46.14189015028409,5.069364161849712,0.6641454710115071,5.0,0.816496580927726,1.0,3,204
20241121/CS3_g2/p3_ch3_nucleus_0012_spot_0.npy,20241121,2,3,3,3,0012,0,66.78949540483485,41.55427691623943,5.982091762884168,0.22747034080874018,5.0,0.816496580927726,1.0,2,365
20241121/CS3_g2/p5_ch3_nucleus_0001_spot_0.npy,20241121,2,3,5,3,0001,0,84.43584232382463,92.72663341749963,5.494768575988651,0.69625007484222,8.0,0.8185346118482661,0.8,1,144
20241121/CS3_g2/p3_ch2_nucleus_0006_spot_0.npy,20241121,2,3,3,2,0006,0,96.78725995054934,51.81455076127977,6.8715998453010165,0.52185419783696,5.0,0.9586907114045357,0.8333333333333334,2,207
20241121/CS3_g2/p2_ch2_nucleus_0003_spot_0.npy,20241121,2,3,2,2,0003,0,37.0,13.0,4.380543773577529,0.7022708289740852,1.0,0.0,1.0,2,407
20241121/CS3_g2/p3_ch2_nucleus_0012_spot_0.npy,20241121,2,3,3,2,0012,0,59.1582901828173,70.84505618373315,9.28853545699358,0.2822776831433427,20.0,0.8216320460028692,0.7692307692307693,2,365
20241121/CS3_g2/p2_ch3_nucleus_0007_spot_0.npy,20241121,2,3,2,3,0007,0,34.52211496726312,56.46675877415528,6.928146830941192,0.3675444679663241,4.0,0.0,1.0,2,575
20241121/CS3_g2/p5_ch3_nucleus_0013_spot_0.npy,20241121,2,3,5,3,0013,0,78.4702433012642,31.47016379104715,5.258511714141244,0.5287290404868413,4.0,0.9851714310094161,0.6666666666666666,1,620
20241121/CS3_g2/p2_ch3_nucleus_0002_spot_1.npy,20241121,2,3,2,3,0002,1,60.36301460322252,68.47149164182485,6.015754178760885,0.51252107156362,6.0,0.8703882797784891,1.0,2,272
20241121/CS3_g2/p5_ch3_nucleus_0015_spot_0.npy,20241121,2,3,5,3,0015,0,19.46012215407667,38.690716544131654,4.892377366171383,0.3440200197313379,12.0,0.8304782141843167,0.8571428571428571,1,725
20241121/CS3_g2/p5_ch3_nucleus_0017_spot_1.npy,20241121,2,3,5,3,0017,1,46.33037782926395,44.32204598110854,6.969510431728981,0.45120452754397167,3.0,0.816496580927726,1.0,2,180
20241121/CS3_g2/p5_ch3_nucleus_0002_spot_1.npy,20241121,2,3,5,3,0002,1,59.93431978745964,46.98451219366906,4.848432419532858,0.5718802540714425,7.0,0.6280433611826014,0.875,1,177
20241121/CS3_g2/p1_ch3_nucleus_0002_spot_1.npy,20241121,2,3,1,3,0002,1,27.515191271026822,19.551561992595957,7.85369932658431,0.4949237277238947,4.0,0.0,1.0,3,222
20241121/CS3_g2/p4_ch3_nucleus_0006_spot_0.npy,20241121,2,3,4,3,0006,0,86.6809861098335,56.28805077729739,4.90380860888159,0.6992566210393083,3.0,0.816496580927726,1.0,1,401
20241121/CS3_g2/p3_ch2_nucleus_0019_spot_1.npy,20241121,2,3,3,2,0019,1,60.01223544704879,27.124084981923062,6.7244826105624735,0.51252107156362,7.0,0.6280433611826015,0.875,2,958
20241121/CS3_g2/p3_ch2_nucleus_0002_spot_0.npy,20241121,2,3,3,2,0002,0,35.2267541015109,25.01540518683994,5.660961532045509,0.3989287755291835,10.0,0.8601430607318777,0.7142857142857143,2,78
20241121/CS3_g2/p1_ch2_nucleus_0013_spot_0.npy,20241121,2,3,1,2,0013,0,24.469098482385302,26.05227730080758,6.592731704393342,0.46784791580980856,6.0,0.7905694150420949,1.0,4,737
20241121/CS3_g2/p3_ch3_nucleus_0003_spot_0.npy,20241121,2,3,3,3,0003,0,48.0,53.44222483352918,7.5730316742081465,0.12085918451231481,2.0,1.0,1.0,2,171
20241121/CS3_g2/p5_ch3_nucleus_0014_spot_0.npy,20241121,2,3,5,3,0014,0,29.768565441036387,72.27555724899982,5.286145986977012,0.5887476345064058,8.0,0.7384255845247096,0.8888888888888888,1,656
20241121/CS3_g2/p4_ch2_nucleus_0018_spot_0.npy,20241121,2,3,4,2,0018,0,24.117706592386256,34.442358402971216,5.034546712802769,0.3912649380604747,8.0,0.6373774391990981,0.8,2,362
20241121/CS3_g2/p5_ch2_nucleus_0014_spot_1.npy,20241121,2,3,5,2,0014,1,29.535192353266453,71.53519235326645,4.703569682151589,0.5887476345064058,2.0,1.0,1.0,1,656
20241121/CS3_g2/p4_ch2_nucleus_0008_spot_1.npy,20241121,2,3,4,2,0008,1,93.80837860426243,32.01936899289594,4.541822388325325,0.6557441202729521,5.0,0.7146982481994575,0.625,1,458
20241121/CS3_g2/p1_ch3_nucleus_0007_spot_0.npy,20241121,2,3,1,3,0007,0,56.0,70.0,7.406308098339769,0.6199242875823143,1.0,0.0,1.0,3,446
20241121/CS3_g2/p4_ch3_nucleus_0009_spot_0.npy,20241121,2,3,4,3,0009,0,70.0,64.0,4.142797542289312,0.7291166215321814,1.0,0.0,1.0,1,491
