filename,date,group,position,field,channel,nucleus_index,spot_index,center_x,center_y,center_z,center_r,area,eccentricity,solidity,nuclear_mask_offset_x,nuclear_mask_offset_y
20240621/CS3_g2/p4_ch3_nucleus_0024_spot_1.npy,20240621,2,3,4,3,0024,1,84.46767011423937,58.48394531305573,5.869936500985331,0.6424023123750795,4.0,0.0,1.0,0,614
20240621/CS3_g2/p3_ch1_nucleus_0023_spot_0.npy,20240621,2,3,3,1,0023,0,79.0,88.0,3.9229492727686854,0.7307023088496236,1.0,0.0,1.0,0,335
20240621/CS3_g2/p5_ch2_nucleus_0032_spot_0.npy,20240621,2,3,5,2,0032,0,64.82745263045409,26.57164706432373,4.581841942861291,0.370678511212869,5.0,0.816496580927726,1.0,0,452
20240621/CS3_g2/p5_ch2_nucleus_0073_spot_0.npy,20240621,2,3,5,2,0073,0,38.469520196842325,78.27291367644044,4.44335461404527,0.6068360603106421,5.0,0.816496580927726,1.0,0,36
20240621/CS3_g2/p5_ch3_nucleus_0061_spot_1.npy,20240621,2,3,5,3,0061,1,58.53952296113151,59.583736319674216,4.13526633429546,0.7709385763545744,16.0,0.632644967503867,0.5517241379310345,0,883
20240621/CS3_g2/p5_ch1_nucleus_0085_spot_1.npy,20240621,2,3,5,1,0085,1,47.77407225362498,34.239100516097324,4.097301862470552,0.28585291131211443,4.0,0.9128709291752769,0.8,2,302
20240621/CS3_g2/p4_ch4_nucleus_0015_spot_0.npy,20240621,2,3,4,4,0015,0,40.089046941678525,22.687547871758397,4.450962816431243,0.5595914038717862,7.0,0.7238845965239823,0.875,0,461
20240621/CS3_g2/p4_ch2_nucleus_0015_spot_0.npy,20240621,2,3,4,2,0015,0,58.20726129792679,44.611115588419004,4.967162482704092,0.36015941582737787,6.0,0.48795003647426666,0.8571428571428571,0,461
20240621/CS3_g2/p6_ch1_nucleus_0009_spot_0.npy,20240621,2,3,6,1,0009,0,45.004905298071044,59.27696604695819,2.5112080219993884,0.10216276724416506,4.0,0.9606594016383402,0.8,0,183
20240621/CS3_g2/p1_ch2_nucleus_0018_spot_0.npy,20240621,2,3,1,2,0018,0,59.94471814644247,75.18073256934775,6.575864957154821,0.45620302698748505,7.0,0.9229290771781018,0.7,0,916
20240621/CS3_g2/p3_ch3_nucleus_0006_spot_0.npy,20240621,2,3,3,3,0006,0,73.0,65.0,4.946698721707518,0.45461756646346585,1.0,0.0,1.0,0,240
20240621/CS3_g2/p7_ch2_nucleus_0010_spot_0.npy,20240621,2,3,7,2,0010,0,35.2183106723247,60.96304956554371,3.1809858271666873,0.6559895419231093,4.0,0.7905694150420949,1.0,0,171
20240621/CS3_g2/p3_ch1_nucleus_0005_spot_1.npy,20240621,2,3,3,1,0005,1,42.40719778071531,46.960175755431855,5.672509125076794,0.21977428498041895,5.0,0.8293122522423683,0.625,0,260
20240621/CS3_g2/p4_ch4_nucleus_0006_spot_1.npy,20240621,2,3,4,4,0006,1,69.48726441132403,68.48726441132403,3.7408266129032257,0.5265679235260007,2.0,1.0,1.0,0,263
20240621/CS3_g2/p2_ch1_nucleus_0049_spot_0.npy,20240621,2,3,2,1,0049,0,47.62904740953899,70.18074366505346,5.557146265807684,0.6807922340608108,6.0,0.487950036474267,0.8571428571428571,0,171
20240621/CS3_g2/p1_ch4_nucleus_0021_spot_0.npy,20240621,2,3,1,4,0021,0,41.678000196251595,76.65882886860956,6.750642571869192,0.17537887487646786,11.0,0.8013747545421712,0.7333333333333333,0,802
20240621/CS3_g2/p1_ch1_nucleus_0008_spot_0.npy,20240621,2,3,1,1,0008,0,38.489723820570546,38.66325517220466,6.114694354672352,0.41312858967527477,7.0,0.8329931278350429,1.0,0,374
20240621/CS3_g2/p2_ch1_nucleus_0028_spot_2.npy,20240621,2,3,2,1,0028,2,76.24652045050385,56.92135151155899,5.392434782608695,0.33836998876587887,4.0,0.7876480070835765,0.6666666666666666,0,740
20240621/CS3_g2/p4_ch3_nucleus_0037_spot_0.npy,20240621,2,3,4,3,0037,0,53.29797999455105,35.703207099209905,4.582232960611338,0.33085848817705044,3.0,0.816496580927726,1.0,0,198
20240621/CS3_g2/p6_ch2_nucleus_0016_spot_0.npy,20240621,2,3,6,2,0016,0,89.86546304714898,50.71795471273327,1.350107481411002,0.4073622420102462,7.0,0.8997354108424374,0.7,0,281
20240621/CS3_g2/p1_ch2_nucleus_0002_spot_0.npy,20240621,2,3,1,2,0002,0,31.175126655019046,70.12207327695059,5.0690613962576085,0.4486176908091074,8.0,0.8640220764089543,0.7272727272727273,0,120
20240621/CS3_g2/p5_ch4_nucleus_0053_spot_0.npy,20240621,2,3,5,4,0053,0,80.67492179729281,66.248331435326,3.8074493248300847,0.7891814893221081,9.0,0.9291746664049189,0.9,0,781
20240621/CS3_g2/p2_ch4_nucleus_0077_spot_1.npy,20240621,2,3,2,4,0077,1,21.0,42.54647245342846,3.937050247168512,0.3859820493790834,2.0,1.0,1.0,3,761
20240621/CS3_g2/p7_ch4_nucleus_0014_spot_0.npy,20240621,2,3,7,4,0014,0,65.62994055007512,34.2855229633501,3.013313782991202,0.4693877551020408,3.0,0.816496580927726,1.0,0,302
20240621/CS3_g2/p4_ch3_nucleus_0023_spot_0.npy,20240621,2,3,4,3,0023,0,13.075641566142172,78.25295453618203,3.3373269985540177,0.7654695999102122,5.0,0.547722557505166,0.7142857142857143,0,581
20240621/CS3_g2/p5_ch3_nucleus_0028_spot_1.npy,20240621,2,3,5,3,0028,1,29.854346927089956,52.201043389744235,1.4441141340411414,0.5731283331909485,6.0,0.6741998624632421,1.0,0,404
